WAR,AB,R,HR,TB,RBI,BB,IB,SF,AVG,OBP,SLG,OPS,wRC+
0.59,336,49,1,112,46,26,0,3,0.277,0.332,0.333,0.665,72.4
1.82,280,34,4,94,37,33,0,6,0.257,0.371,0.336,0.707,96.6
0.58,289,56,9,119,44,29,0,1,0.263,0.335,0.412,0.747,91.6
0.5,260,29,5,107,47,24,1,2,0.277,0.34,0.412,0.752,93.2
1.18,210,37,2,83,22,25,0,2,0.286,0.367,0.395,0.762,102.2
-0.21,133,26,0,37,13,16,0,1,0.233,0.322,0.278,0.6,61.5
-0.29,134,10,1,39,16,7,1,5,0.239,0.287,0.291,0.578,44
0.25,137,16,1,54,11,10,0,0,0.292,0.349,0.394,0.743,94.7
-0.99,131,11,1,36,7,10,0,0,0.237,0.301,0.275,0.576,48.1
-0.15,93,20,1,28,13,8,0,0,0.204,0.282,0.301,0.583,50.9
0.02,76,5,1,20,7,8,0,0,0.224,0.322,0.263,0.585,58.8
0.06,64,10,1,19,6,13,0,0,0.172,0.312,0.297,0.609,64.6
-0.24,57,10,0,16,7,6,0,0,0.158,0.25,0.281,0.531,35.5
0.47,42,4,0,15,4,9,0,0,0.286,0.423,0.357,0.78,119.8
0.4,48,10,4,28,9,3,0,0,0.271,0.314,0.583,0.897,119.1
0.01,36,6,0,9,4,3,0,0,0.222,0.282,0.25,0.532,34.4
-0.21,13,13,0,2,0,2,0,0,0.154,0.267,0.154,0.421,13.9
-0.21,7,0,0,0,1,0,0,0,0,0,0,0,-132.5
-0.14,6,0,0,0,0,1,0,0,0,0.143,0,0.143,-63.4
-0.01,1,0,0,0,0,0,0,0,0,0,0,0,-151.2
6.13,527,88,19,273,104,64,2,8,0.34,0.409,0.518,0.927,148.9
5.16,509,90,11,233,75,47,2,7,0.326,0.383,0.458,0.841,124.1
-0.03,482,49,13,188,84,47,2,9,0.257,0.325,0.39,0.715,86.1
1.96,473,82,13,190,60,49,1,1,0.266,0.352,0.402,0.754,103.6
3.17,382,69,11,194,57,39,0,2,0.33,0.399,0.508,0.907,145.9
-0.07,288,27,0,81,26,14,0,4,0.243,0.297,0.281,0.578,52.1
-0.42,254,21,0,81,35,28,0,3,0.256,0.329,0.319,0.648,73.5
0.22,261,27,9,109,38,18,0,4,0.257,0.3,0.418,0.718,79.2
-0.2,219,16,5,75,21,11,0,1,0.251,0.289,0.342,0.631,57.6
1.42,183,27,1,68,12,31,0,1,0.306,0.429,0.372,0.801,136.7
-0.04,189,26,0,54,10,7,1,1,0.222,0.249,0.286,0.535,27.5
0.2,174,24,5,66,25,15,1,2,0.23,0.299,0.379,0.678,73.3
0.05,129,23,0,40,6,13,0,0,0.256,0.333,0.31,0.643,73.8
-0.33,119,14,4,35,13,17,0,0,0.168,0.288,0.294,0.582,55.7
0.36,102,19,4,37,19,22,1,0,0.216,0.36,0.363,0.723,100.7
-0.22,112,12,2,39,11,10,0,2,0.25,0.306,0.348,0.654,67.3
